,0
first_diff_mean,7.5567148525207805e-06
first_diff_max,0.0006199077821011672
kurtosis,20.911990119922148
sec_diff_mean,6.0711084727431245e-06
sec_diff_max,0.0002416682274466206
coef_variation,-3.593410805500565
slopemean,1.5815575371292937e-09
slopevar,2.527731983064885e-10
w1,-8.1540099822975e-06
w2,0.0002730599789591673
w3,-2.319387747178394e-09
w4,9.214679762058501e-06
w5,0.0014821487335720392
w6,1.2287663847582163e-06
w7,-0.01831231886431515
w8,-2.3117784794151126e-05
welch1,1.673901534863542e-08
welch2,1.3531805401393464e-09
welch3,2.537413422790093e-10
welch4,7.161744057300258e-11
power1,68.12598261926509
power2,21.26314623061269
power3,12.06860328846685
power4,16.416485332146777
ratio1,0.5779549088953208
ratio2,0.1803884402111573
ratio3,0.10238543718424345
ratio4,0.1392712137092785
spec_entropy,0.704405866454334
